Mobile Device Model/ Code,,
Code,Anzahl,%
Edge 20,1,0%
edge 30 Fusion,1,0%
edge 30 neo,1,0%
Edge 40,1,0%
Edge 40 Neo,1,0%
F1,1,0%
F3311,1,0%
G011C,1,0%
G10,1,0%
G20,1,0%
G21,1,0%
G3412,1,0%
GS185,1,0%
H8216,1,0%
H930,1,0%
HD1903,1,0%
I002D,1,0%
IN2013,1,0%
JKM-LX2,1,0%
JLN-LX1,1,0%
JSN-L21,1,0%
KB2003,1,0%
KE7,1,0%
KI5q,1,0%
LE2113,1,0%
LM-G710,1,0%
LM-G810,1,0%
LM-K510,1,0%
LM-K520,1,0%
LM-V405,1,0%
LM-X120,1,0%
LM-X430,1,0%
M2006C3LII,1,0%
M2006C3LVG,1,0%
M2006C3MNG,1,0%
M2010J19SG,1,0%
M2101K6P,1,0%
M2101K7BG,1,0%
M2101K7BI,1,0%
M2103K19PG,1,0%
M320,1,0%
MAR-LX1M,1,0%
Mate 40,1,0%
Mi 10,1,0%
Mi 9,1,0%
Mi 9T,1,0%
Mi A2 Lite,1,0%
Moto E5,1,0%
Moto G100,1,0%
Moto G42,1,0%
Moto G5,1,0%
moto G51 5G,1,0%
Moto G6 Play,1,0%
Moto G8,1,0%
MP07,1,0%
NAM-LX9,1,0%
Note 12,1,0%
Note 12P,1,0%
Note 9,1,0%
One Action,1,0%
OT19,1,0%
Pixel 3,1,0%
Pixel 3a,1,0%
Pixel 6,1,0%
Pixel 6 Pro,1,0%
Pixel 8 Pro,1,0%
Poco X3 NFC,1,0%
PRA-LX1,1,0%
QT-10.1,1,0%
Redmi 8A,1,0%
Redmi Note 8,1,0%
RMX2030,1,0%
RMX2151,1,0%
RMX2170,1,0%
RMX3085,1,0%
RMX3261,1,0%
RMX3263,1,0%
RMX3472,1,0%
SM-A032F,1,0%
SM-A045F,1,0%
SM-A105F,1,0%
SM-A107F,1,0%
SM-A207F,1,0%
SM-A300FU,1,0%
SM-A315G,1,0%
SM-A325F,1,0%
SM-A346E/DSN,1,0%
SM-A546E,1,0%
SM-A705MN,1,0%
SM-A920F,1,0%
SM-F926B,1,0%
SM-F936B,1,0%
SM-G390F,1,0%
SM-G398FN,1,0%
SM-G525F,1,0%
SM-G736B,1,0%
SM-G800F,1,0%
SM-G901F,1,0%
SM-G9730,1,0%
SM-G977P,1,0%
SM-G981U1,1,0%
SM-G990U1,1,0%
SM-J320F,1,0%
SM-J400F,1,0%
SM-J415F,1,0%
SM-J510FN,1,0%
SM-J600F,1,0%
SM-J730F,1,0%
SM-M115F,1,0%
SM-M205F,1,0%
SM-M236B/DS,1,0%
SM-M515F,1,0%
SM-M526BR,1,0%
SM-N9005,1,0%
SM-N980F,1,0%
SM-N986B,1,0%
SM-N986U1,1,0%
SM-S906E,1,0%
SM-S928B,1,0%
STK-LX1,1,0%
TA-1012,1,0%
TA-1024,1,0%
TA-1535,1,0%
TFY-LX1,1,0%
U10,1,0%
V2023,1,0%
V2247,1,0%
VFD 529,1,0%
VFD 730,1,0%
VKY-L09,1,0%
VTR-L09,1,0%
WAS-LX1A,1,0%
WP22,1,0%
W-P311,1,0%
W-V730,1,0%
X1Max,1,0%
X50,1,0%
X665B,1,0%
X669C,1,0%
XQ-AT51,1,0%
XT1021,1,0%
XT2173-3,1,0%
YAL-L21,1,0%
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
